mode,mechanism_family,mechanism_family_cn,outcome_kind,subset,model_family,spec,treated_x_post_coef,cluster_se,t_stat,p_value,stars,n,clusters,y_mean,treated_pre_mean,treated_post_mean,control_pre_mean,control_post_mean,ppml_pct_effect,convergence
primary_secondary,post_hoc_query_burden,事后追问负担,count,issue,ols_lpm,event_fe_controls,-0.06772789512265237,0.04569042093187349,-1.4823215400803105,0.1408332453281203,,13720,123,0.3746355685131195,0.4700162074554295,0.35853865760407816,0.3888888888888889,0.3411137658518655,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,issue,ppml,event_fe_controls,-0.13729998903252488,0.11639933162212164,-1.1795599435077089,0.2404703552437398,,13720,123,0.3746355685131195,0.4700162074554295,0.35853865760407816,0.3888888888888889,0.3411137658518655,-0.12829131614055034,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,issue,ols_lpm,event_fe_controls,-0.03908516235328635,0.02197360834454583,-1.778732092628194,0.07777425106348183,*,13720,123,0.23432944606413994,0.3006482982171799,0.23619371282922685,0.23994546693933197,0.2128285241683514,,
primary_secondary,quality_assurance_work,质量保障审查,count,all,ols_lpm,event_fe,-0.022123049546686424,0.09562953234753557,-0.23134118722119368,0.8174373005949909,,29539,123,0.3544128101831477,0.48494090735798706,0.4443118536197295,0.33814498763856765,0.3236955238978336,,
primary_secondary,quality_assurance_work,质量保障审查,count,all,ppml,event_fe,-0.03292460195234437,0.21694242265529923,-0.15176654500931067,0.8796217541500982,,29539,123,0.3544128101831477,0.48494090735798706,0.4443118536197295,0.33814498763856765,0.3236955238978336,-0.03238848714231102,converged
primary_secondary,quality_assurance_work,质量保障审查,any,all,ols_lpm,event_fe,-0.027567820036562662,0.012858294720891929,-2.143971703477208,0.03401919437882313,**,29539,123,0.16408815464301432,0.2146397255051468,0.1809864757358791,0.15934285030704204,0.15434544381690973,,
primary_secondary,quality_assurance_work,质量保障审查,count,all,ols_lpm,event_fe_controls,-0.014577592485935542,0.09514946185808482,-0.1532073035544645,0.8784879155843806,,29539,123,0.3544128101831477,0.48494090735798706,0.4443118536197295,0.33814498763856765,0.3236955238978336,,
primary_secondary,quality_assurance_work,质量保障审查,count,all,ppml,event_fe_controls,-0.005658323459692305,0.20348612224508023,-0.027806925589143505,0.977861577327976,,29539,123,0.3544128101831477,0.48494090735798706,0.4443118536197295,0.33814498763856765,0.3236955238978336,-0.005642345298245144,converged
primary_secondary,quality_assurance_work,质量保障审查,any,all,ols_lpm,event_fe_controls,-0.024952863485843718,0.01249109773516003,-1.9976517688758628,0.04797907926145316,**,29539,123,0.16408815464301432,0.2146397255051468,0.1809864757358791,0.15934285030704204,0.15434544381690973,,
primary_secondary,quality_assurance_work,质量保障审查,count,pr,ols_lpm,event_fe,0.037444906602233985,0.1790867418713915,0.20908810005111653,0.8347281831337394,,15819,123,0.41721979897591505,0.5881929445644348,0.5901271503365744,0.39484335182131614,0.36748676424789783,,
primary_secondary,quality_assurance_work,质量保障审查,count,pr,ppml,event_fe,0.0930307775904664,0.3120177340498849,0.2981586218929235,0.7660892904177626,,15819,123,0.41721979897591505,0.5881929445644348,0.5901271503365744,0.39484335182131614,0.36748676424789783,0.0974955130157189,converged
primary_secondary,quality_assurance_work,质量保障审查,any,pr,ols_lpm,event_fe,-0.036674546015010245,0.017703856019606792,-2.0715569520218455,0.040414475879807635,**,15819,123,0.14880839496807635,0.21526277897768178,0.175018698578908,0.1398590915904662,0.13827468078480223,,
primary_secondary,quality_assurance_work,质量保障审查,count,pr,ols_lpm,event_fe_controls,0.05560344609158219,0.1793016944096862,0.31011110226618355,0.7570055826797046,,15819,123,0.41721979897591505,0.5881929445644348,0.5901271503365744,0.39484335182131614,0.36748676424789783,,
primary_secondary,quality_assurance_work,质量保障审查,count,pr,ppml,event_fe_controls,0.1479865148191286,0.287630064160976,0.5145029440882994,0.607831202522234,,15819,123,0.41721979897591505,0.5881929445644348,0.5901271503365744,0.39484335182131614,0.36748676424789783,0.15949726022727218,converged
primary_secondary,quality_assurance_work,质量保障审查,any,pr,ols_lpm,event_fe_controls,-0.029463992356536142,0.017021242097386265,-1.7310130593266488,0.08597760632078244,*,15819,123,0.14880839496807635,0.21526277897768178,0.175018698578908,0.1398590915904662,0.13827468078480223,,
primary_secondary,quality_assurance_work,质量保障审查,count,issue,ols_lpm,event_fe,-0.09273437837709517,0.04098219618592909,-2.262796702167337,0.02541663433238073,**,13720,123,0.28199708454810496,0.3687196110210697,0.2786745964316058,0.2736877982276755,0.27200882190773756,,
primary_secondary,quality_assurance_work,质量保障审查,count,issue,ppml,event_fe,-0.2893224267988031,0.12913828152723947,-2.2404079052095454,0.02687430519489468,**,13720,123,0.28199708454810496,0.3687196110210697,0.2786745964316058,0.2736877982276755,0.27200882190773756,-0.251229257275872,converged
primary_secondary,quality_assurance_work,质量保障审查,any,issue,ols_lpm,event_fe,-0.020125104120970044,0.01935522460997957,-1.0397763150004222,0.3005001091197406,,13720,123,0.1817055393586006,0.21393841166936792,0.18776550552251486,0.18149284253578732,0.17331372909391657,,
primary_secondary,quality_assurance_work,质量保障审查,count,issue,ols_lpm,event_fe_controls,-0.09308753616556584,0.039630684765844804,-2.3488752898307763,0.020437738989924948,**,13720,123,0.28199708454810496,0.3687196110210697,0.2786745964316058,0.2736877982276755,0.27200882190773756,,
primary_secondary,quality_assurance_work,质量保障审查,count,issue,ppml,event_fe_controls,-0.28984260397876505,0.12694218234409269,-2.2832647007210762,0.024145101998604868,**,13720,123,0.28199708454810496,0.3687196110210697,0.2786745964316058,0.2736877982276755,0.27200882190773756,-0.25161864944402,converged
primary_secondary,quality_assurance_work,质量保障审查,any,issue,ols_lpm,event_fe_controls,-0.02040545585960468,0.018777284225232296,-1.0867096442085324,0.2793075687901818,,13720,123,0.1817055393586006,0.21393841166936792,0.18776550552251486,0.18149284253578732,0.17331372909391657,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,all,ols_lpm,event_fe,-0.057963174084037616,0.04441521179624545,-1.3050297801109982,0.19433879612051222,,29539,123,0.2823386032025458,0.4170796797560046,0.33015115354017505,0.27633782598293327,0.2487566382871112,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,all,ppml,event_fe,-0.12389344617045683,0.12798793306465062,-0.968008805235369,0.33495506633323935,,29539,123,0.2823386032025458,0.4170796797560046,0.33015115354017505,0.27633782598293327,0.2487566382871112,-0.11652602659726063,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,all,ols_lpm,event_fe,-0.02827211821558756,0.01589177063551592,-1.7790414211241676,0.07772325684122892,*,29539,123,0.17627543247909544,0.248570339306138,0.20485282418456643,0.17274104793045697,0.15797015931889066,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,all,ols_lpm,event_fe_controls,-0.05477027426387826,0.04382669303966038,-1.2497012771261258,0.21380078685245338,,29539,123,0.2823386032025458,0.4170796797560046,0.33015115354017505,0.27633782598293327,0.2487566382871112,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,all,ppml,event_fe_controls,-0.11466972303428224,0.1239786710075978,-0.9249149236908253,0.35683603136102626,,29539,123,0.2823386032025458,0.4170796797560046,0.33015115354017505,0.27633782598293327,0.2487566382871112,-0.10833940976607237,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,all,ols_lpm,event_fe_controls,-0.0269951299382985,0.015598294238519453,-1.7306462825681896,0.08604329934965715,*,29539,123,0.17627543247909544,0.248570339306138,0.20485282418456643,0.17274104793045697,0.15797015931889066,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,pr,ols_lpm,event_fe,-0.051332938427642194,0.07270956876381354,-0.7059997645480443,0.481534288632689,,15819,123,0.2523547632593716,0.3952483801295896,0.32161555721765145,0.23969419877079898,0.22018062908751168,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,pr,ppml,event_fe,-0.110259229544722,0.21898285615549423,-0.5035062172466583,0.6155163322511552,,15819,123,0.2523547632593716,0.3952483801295896,0.32161555721765145,0.23969419877079898,0.22018062908751168,-0.10439806128110429,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,pr,ols_lpm,event_fe,-0.02695830703170332,0.01736471689211696,-1.552476046640389,0.12313868562537152,,15819,123,0.13591251027245718,0.2059035277177826,0.16978309648466716,0.1289162044670964,0.12099034568670196,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,pr,ols_lpm,event_fe_controls,-0.043646103690020366,0.07200272027323219,-0.6061729824150309,0.5455261091931285,,15819,123,0.2523547632593716,0.3952483801295896,0.32161555721765145,0.23969419877079898,0.22018062908751168,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,pr,ppml,event_fe_controls,-0.07425261905733249,0.20886323772343782,-0.3555083214579516,0.7228227383776911,,15819,123,0.2523547632593716,0.3952483801295896,0.32161555721765145,0.23969419877079898,0.22018062908751168,-0.0715628766968408,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,pr,ols_lpm,event_fe_controls,-0.023057071578864784,0.01642223384019651,-1.4040155440015876,0.16285474392502408,,15819,123,0.13591251027245718,0.2059035277177826,0.16978309648466716,0.1289162044670964,0.12099034568670196,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,issue,ols_lpm,event_fe,-0.07435267988931016,0.039431103839054155,-1.8856352637956908,0.06172222622573861,*,13720,123,0.31690962099125364,0.44165316045380876,0.33984706881903143,0.3179959100204499,0.2824848373460761,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,issue,ppml,event_fe,-0.16907934881461117,0.10976365527807798,-1.5403946632996264,0.12605396233329771,,13720,123,0.31690962099125364,0.44165316045380876,0.33984706881903143,0.3179959100204499,0.2824848373460761,-0.1555581047358353,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,issue,ols_lpm,event_fe,-0.035139073000653664,0.024595019390726856,-1.4287068630611557,0.15564379904960243,,13720,123,0.2228134110787172,0.2965964343598055,0.24468988954970264,0.2225630538513974,0.20161734975188383,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,issue,ols_lpm,event_fe_controls,-0.07346288059362957,0.03920609148976339,-1.8737619028617158,0.06335562260745915,*,13720,123,0.31690962099125364,0.44165316045380876,0.33984706881903143,0.3179959100204499,0.2824848373460761,,
primary_secondary,coordination_boundary_work,协调与边界判断,count,issue,ppml,event_fe_controls,-0.1733557323516084,0.10981393572022807,-1.5786314479545216,0.11701000688773623,,13720,123,0.31690962099125364,0.44165316045380876,0.33984706881903143,0.3179959100204499,0.2824848373460761,-0.15916155180234948,converged
primary_secondary,coordination_boundary_work,协调与边界判断,any,issue,ols_lpm,event_fe_controls,-0.03497354550972551,0.024539134775526203,-1.4252151035335578,0.15664839316622425,,13720,123,0.2228134110787172,0.2965964343598055,0.24468988954970264,0.2225630538513974,0.20161734975188383,,
